1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
24,105,1277,428,128,697,71,1229,2128,653,252,3283,5071,1091,125,401,0,0,0,0,0,0
25,111,1296,441,131,720,86,1261,2168,689,259,3320,5089,1101,131,406,0,0,0,0,0,0
28,115,1314,449,133,736,96,1294,2201,725,265,3350,5104,1108,136,410,0,0,0,0,0,0
28,126,1352,467,136,763,121,1333,2271,773,270,3383,5121,1123,138,414,0,0,0,0,0,0
34,161,1512,557,154,953,340,1597,2677,1009,306,3532,5203,1180,156,433,0,0,0,0,0,0
42,200,1698,647,179,1192,590,1924,3141,1318,354,3753,5314,1251,191,466,0,0,0,0,0,0
47,220,1814,714,195,1327,726,2127,3382,1523,394,3927,5424,1305,212,494,0,0,0,0,0,0
49,226,1854,719,199,1336,709,2163,3425,1566,395,3999,5455,1312,221,501,0,0,0,0,0,0
47,218,1839,714,198,1310,661,2134,3390,1525,395,4012,5443,1300,225,497,0,0,0,0,0,0
45,211,1801,706,200,1273,635,2075,3301,1477,381,3937,5386,1291,220,483,0,0,0,0,0,0
45,210,1763,682,198,1275,648,2040,3280,1451,368,3858,5340,1270,205,477,0,0,0,0,0,0
47,191,1691,648,185,1217,608,1948,3165,1348,355,3750,5297,1249,192,465,0,0,0,0,0,0
45,188,1654,617,182,1177,576,1885,3102,1297,352,3683,5262,1237,191,460,0,0,0,0,0,0
41,183,1638,614,180,1165,574,1865,3111,1271,354,3678,5260,1234,195,459,0,0,0,0,0,0
42,181,1653,616,174,1174,579,1866,3102,1253,354,3686,5268,1234,189,460,0,0,0,0,0,0
42,175,1642,606,171,1172,594,1878,3093,1246,348,3654,5249,1222,179,453,0,0,0,0,0,0
40,173,1618,586,167,1141,569,1842,3011,1206,339,3629,5239,1209,182,450,0,0,0,0,0,0
39,149,1550,565,158,1049,442,1720,2848,1083,325,3566,5211,1184,170,444,0,0,0,0,0,0
37,146,1517,555,158,1002,380,1650,2765,1037,311,3519,5179,1174,165,435,0,0,0,0,0,0
34,133,1476,521,156,940,323,1555,2636,962,299,3447,5150,1162,150,426,0,0,0,0,0,0
30,129,1428,485,145,872,277,1479,2505,851,284,3395,5119,1134,141,415,0,0,0,0,0,0
24,105,1300,434,131,728,104,1270,2206,668,252,3285,5071,1096,124,403,0,0,0,0,0,0
23,96,1264,417,126,679,53,1201,2102,616,245,3247,5051,1081,120,398,0,0,0,0,0,0
23,98,1259,416,127,678,53,1201,2094,612,245,3246,5051,1082,120,398,0,0,0,0,0,0
24,104,1277,428,128,698,68,1236,2125,654,252,3283,5070,1091,123,401,0,0,0,0,0,0
25,111,1301,440,131,716,83,1264,2166,690,259,3320,5088,1105,128,406,0,0,0,0,0,0
29,117,1318,448,132,737,95,1291,2197,722,265,3348,5104,1115,132,410,0,0,0,0,0,0
28,125,1356,463,135,767,120,1333,2251,775,272,3381,5123,1119,136,418,0,0,0,0,0,0
35,160,1506,545,153,963,349,1604,2647,1030,306,3534,5207,1174,160,435,0,0,0,0,0,0
42,197,1705,649,179,1197,596,1940,3119,1347,355,3764,5324,1244,189,467,0,0,0,0,0,0
47,218,1821,709,194,1337,720,2129,3361,1557,389,3938,5430,1289,213,490,0,0,0,0,0,0
46,227,1858,729,199,1334,705,2179,3392,1594,400,3998,5461,1310,220,499,0,0,0,0,0,0
45,227,1841,727,198,1333,669,2138,3351,1538,397,3984,5438,1305,224,496,0,0,0,0,0,0
45,213,1780,703,197,1271,634,2056,3295,1504,378,3920,5385,1286,221,490,0,0,0,0,0,0
46,210,1746,690,193,1284,650,2025,3302,1420,368,3851,5358,1284,214,478,0,0,0,0,0,0
42,203,1692,649,187,1224,613,1945,3189,1327,357,3762,5293,1253,198,469,0,0,0,0,0,0
