,Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
119,9,9,GEN120,Comm Solar PV,UtilityPV,0.0,100,3,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
120,9,9,GEN121,Res Solar PV,UtilityPV,0.0,100,2,39,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
121,9,9,GEN122,Wind,LandbasedWind,0.0,100,5,2,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
122,9,9,GEN123,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
123,9,9,GEN124,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
124,9,9,GEN125,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
125,9,9,GEN126,Hydropower,Hydro,0.498,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
126,10,10,GEN127,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
127,10,10,GEN128,Natural Gas CC,Natural Gas,24.155,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
128,10,10,GEN129,Natural Gas CT,Natural Gas,12.755,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
129,10,10,GEN130,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
130,10,10,GEN131,Biopower,Biomass,0.082,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
131,10,10,GEN132,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
132,10,10,GEN133,Solar PV,UtilityPV,2.032,100,5,152,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
133,10,10,GEN134,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
134,10,10,GEN135,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
135,10,10,GEN136,Wind,LandbasedWind,0.01,100,5,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
136,10,10,GEN137,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
137,10,10,GEN138,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
138,10,10,GEN139,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
139,10,10,GEN140,Hydropower,Hydro,0.825,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
140,11,11,GEN141,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
141,11,11,GEN142,Natural Gas CC,Natural Gas,16.227,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
142,11,11,GEN143,Natural Gas CT,Natural Gas,3.913,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
143,11,11,GEN144,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
144,11,11,GEN145,Biopower,Biomass,1.719,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
145,11,11,GEN146,Solar Thermal,UtilityPV,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
146,11,11,GEN147,Solar PV,UtilityPV,0.229,100,5,2056,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
147,11,11,GEN148,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
148,11,11,GEN149,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
149,11,11,GEN150,Wind,LandbasedWind,0.01,100,5,40,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
150,11,11,GEN151,Geothermal,Geothermal,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
151,11,11,GEN152,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
152,11,11,GEN153,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
153,11,11,GEN154,Hydropower,Hydro,26.244,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
154,12,12,GEN155,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
155,12,12,GEN156,Natural Gas CC,Natural Gas,46.578,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
156,12,12,GEN157,Natural Gas CT,Natural Gas,23.675,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
157,12,12,GEN158,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
158,12,12,GEN159,Biopower,Biomass,0.24,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
