,Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
94,7,7,GEN95,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
95,7,7,GEN96,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
96,7,7,GEN97,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
97,7,7,GEN98,Hydropower,Hydro,0.075,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
98,8,8,GEN99,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
99,8,8,GEN100,Natural Gas CC,Natural Gas,1.858,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
100,8,8,GEN101,Natural Gas CT,Natural Gas,5.217,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
101,8,8,GEN102,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
102,8,8,GEN103,Biopower,Biomass,0.655,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
103,8,8,GEN104,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
104,8,8,GEN105,Solar PV,UtilityPV,0.293,100,0,2,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
105,8,8,GEN106,Comm Solar PV,UtilityPV,0.0,100,3,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
106,8,8,GEN107,Res Solar PV,UtilityPV,0.0,100,2,2,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
107,8,8,GEN108,Wind,LandbasedWind,0.0,100,5,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
108,8,8,GEN109,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
109,8,8,GEN110,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
110,8,8,GEN111,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
111,8,8,GEN112,Hydropower,Hydro,0.123,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
112,9,9,GEN113,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
113,9,9,GEN114,Natural Gas CC,Natural Gas,14.056,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
114,9,9,GEN115,Natural Gas CT,Natural Gas,11.622,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
115,9,9,GEN116,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
116,9,9,GEN117,Biopower,Biomass,1.009,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
117,9,9,GEN118,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
118,9,9,GEN119,Solar PV,UtilityPV,0.574,100,0,39,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
