Time (seconds),Speed (mph),Grade (rise/run),Key On/Off (1/0),Engine Speed (rpm),Engine Torque (Nm),Engine Power (kW),Speed (m/s),Acceleration (m/s2),P_W (kW),eta_RB,P_T (kW),EC_cum (kWh),ER_cum (kWh),SOC,break_length,charging_break (bool),SOC_wBreakCharging,charging_power_existing_breaks (kW),charging_power_depletion_breaks (kW),charging_power_after_cycle (kW),charging_power_total (kW)
9131,49.18,-0.0041,1.0,1415.38,1498.16,222.05,22.131,0.13049999999999784,29.819200296061194,0.0,35.149643774457715,40.29840722356756,-2.474131183020606,0.48316638217342106,0.0,0.0,0.48584127929276194,0.0,0.0,0.0,0.0
9132,48.75,-0.0042,1.0,1412.38,-171.92,0.0,21.9375,-0.19350000000000023,2.894040040419706,0.320795668779161,3.4113750697468106,40.2993548277536,-2.474131183020606,0.48315936288315414,0.0,0.0,0.485834260002495,0.0,0.0,0.0,0.0
9133,47.71,-0.0042,1.0,1362.62,-171.92,0.0,21.4695,-0.46799999999999997,-19.612049328562104,0.6249488515682098,-10.397825278353476,40.2993548277536,-2.4770194678201487,0.48313796818093524,0.0,0.0,0.4858128653002761,0.0,0.0,0.0,0.0
9134,47.4,-0.0042,1.0,1672.12,-221.04,0.0,21.33,-0.13950000000000173,6.2776045244877015,0.20658136353662204,7.399781369113812,40.301410322578356,-2.4770194678201487,0.48312274229334445,0.0,0.0,0.48579763941268533,0.0,0.0,0.0,0.0
9135,47.2,-0.0041,1.0,1025.88,-73.68,0.0,21.240000000000002,-0.0899999999999963,10.104815819651602,0.08677432947392053,11.911140236519838,40.30471897264405,-2.4770194678201487,0.48309823377433936,0.0,0.0,0.48577313089368024,0.0,0.0,0.0,0.0
9136,47.29,-0.004,1.0,1056.0,442.08,48.89,21.2805,0.04049999999999798,20.536454783282604,0.0,24.207526119269886,40.31144328545496,-2.4770194678201487,0.483048424049814,0.0,0.0,0.4857233211691549,0.0,0.0,0.0,0.0
9137,47.07,-0.0041,1.0,1065.75,1203.44,134.31,21.1815,-0.0990000000000002,9.295973077665344,0.10836802322189634,10.957709763264392,40.31448709372253,-2.4770194678201487,0.4830258773219061,0.0,0.0,0.485700774441247,0.0,0.0,0.0,0.0
9138,47.3,-0.0041,1.0,1067.25,785.92,87.84,21.285,0.10350000000000037,25.43445065712314,0.0,29.981081696379025,40.32281517197153,-2.4770194678201487,0.482964187853395,0.0,0.0,0.4856390849727359,0.0,0.0,0.0,0.0
9139,47.6,-0.0036,1.0,1075.38,1522.72,171.48,21.42,0.13500000000000156,28.659496631836085,0.0,33.78263291310908,40.33219923666962,-2.4770194678201487,0.48289467626303884,0.0,0.0,0.4855695733823797,0.0,0.0,0.0,0.0
9140,48.24,-0.0035,1.0,1084.0,1940.24,220.25,21.708000000000002,0.28800000000000026,41.80673427162355,0.0,49.28005454308193,40.345888140709356,-2.4770194678201487,0.48279327697385555,0.0,0.0,0.4854681740931964,0.0,0.0,0.0,0.0
9141,48.97,-0.0037,1.0,1109.25,1989.36,231.08,22.0365,0.32849999999999824,46.03620259373995,0.0,54.26557740760295,40.36096191221147,-2.4770194678201487,0.48268161940717325,0.0,0.0,0.4853565165265141,0.0,0.0,0.0,0.0
9142,48.96,-0.0038,1.0,1098.38,-147.36,0.0,22.032,-0.0045000000000001705,18.775344846011595,5.859024704052848e-22,22.131602341028586,40.367109579528424,-2.4770194678201487,0.48263608113075135,0.0,0.0,0.48531097825009223,0.0,0.0,0.0,0.0
9143,48.86,-0.0036,1.0,1384.75,-98.24,0.0,21.987000000000002,-0.04499999999999815,15.537348314557203,0.007529784255648511,18.314785542001776,40.37219701995675,-2.4770194678201487,0.4825983963868378,0.0,0.0,0.4852732935061787,0.0,0.0,0.0,0.0
9144,48.29,-0.0033,1.0,1380.5,24.56,3.55,21.7305,-0.2565000000000026,-1.7727210960587834,0.4241365579070704,-0.6378538551305889,40.37219701995675,-2.4771966494465736,0.4825970839303458,0.0,0.0,0.48527198104968666,0.0,0.0,0.0,0.0
9145,47.97,-0.0032,1.0,1344.12,-171.92,0.0,21.5865,-0.14399999999999835,7.116887704807603,0.2170173927400469,8.389093775926922,40.3745273237834,-2.4771966494465736,0.4825798224205188,0.0,0.0,0.48525471953985966,0.0,0.0,0.0,0.0
9146,46.78,-0.0033,1.0,1339.62,-171.92,0.0,21.051000000000002,-0.535499999999999,-24.338647001595888,0.6630989864796257,-13.691463097124648,40.3745273237834,-2.4809998336402193,0.48255165068575107,0.0,0.0,0.48522654780509195,0.0,0.0,0.0,0.0
9147,46.53,-0.0036,1.0,1312.88,147.36,20.26,20.9385,-0.11250000000000071,8.216351572273279,0.14148585160496382,9.685096448721968,40.37721762835248,-2.4809998336402193,0.4825317225037578,0.0,0.0,0.4852066196230987,0.0,0.0,0.0,0.0
9148,46.5,-0.0039,1.0,1331.25,1178.88,164.35,20.925,-0.013500000000000512,15.636549984915096,8.367745117397747e-08,18.431720380639003,40.38233755068044,-2.4809998336402193,0.48249379715318036,0.0,0.0,0.48516869427252124,0.0,0.0,0.0,0.0
9149,46.87,-0.0042,1.0,1352.75,1301.68,184.4,21.0915,0.1664999999999992,29.79932594060719,0.0,35.126216703727465,40.39209483309815,-2.4809998336402193,0.48242152098712326,0.0,0.0,0.48509641810646414,0.0,0.0,0.0,0.0
9150,47.55,-0.0042,1.0,1371.5,1277.12,183.42,21.3975,0.30600000000000094,41.681707680269994,0.0,49.132678352413514,40.40574279930715,-2.4809998336402193,0.48232042494113064,0.0,0.0,0.4849953220604715,0.0,0.0,0.0,0.0
